time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1577411400,28281,28284,28246,28246,28127.057715671042,NaN,NaN,NaN,NaN,28264.25,35,12.35,35.37354718792244
1577411700,28251,28271,28247,28247,28158.446172536835,NaN,NaN,NaN,NaN,28254,21,13.05,38.080285236896266
1577412000,28240,28268,28240,28268,28183.55693802947,NaN,NaN,NaN,NaN,28254,37,14.65,40.30000004006965
1577412300,28258,28263,28247,28256,28203.645550423575,NaN,NaN,NaN,NaN,28256,22,15.7,42.36116378587351
1577412600,28251,28251,28236,28236,28219.71644033886,NaN,NaN,NaN,NaN,28243.5,43,17.8,43.774227565252005
1577412900,28240,28255,28230,28255,28284,NaN,NaN,28284,28284,28245,6,18,44.81103937942924
1577413200,28262,28265,28246,28246,28278.6,NaN,NaN,NaN,NaN,28254.75,9,18.4,45.89571096048395
1577413500,28270,28288,28270,28285,28230,28230,28230,NaN,NaN,28278.25,11,18.9,47.165875084015404
1577413800,28283,28301,28283,28294,28235.8,NaN,NaN,NaN,NaN,28290.25,26,20.1,48.482940388322156
1577414100,28306,28306,28283,28283,28243.624,NaN,NaN,NaN,NaN,28294.5,8,20.2,49.75875037935688
1577414400,28276,28276,28276,28276,28252.356639999998,NaN,NaN,NaN,NaN,28276,1,18.75,50.57037590765513
1577414700,28290,28313,28290,28311,28259.866710399998,NaN,NaN,NaN,NaN,28301,5,18.95,51.745095030402354
1577415000,28311,28311,28291,28291,28268.368036736,NaN,NaN,NaN,NaN,28301,5,19.1,52.83590564438193
1577415300,28291,28291,28275,28278,28313,NaN,NaN,28313,28313,28283.75,6,17.8,53.00574020939032
1577415600,28271,28271,28271,28271,28311,NaN,NaN,NaN,NaN,28271,1,16.8,52.95644444847933
1577416200,28300,28300,28286,28289,28306.2,NaN,NaN,NaN,NaN,28293.75,6,16.95,53.34401892997772
1577416500,28293,28293,28292,28292,28301.976000000002,NaN,NaN,NaN,NaN,28292.5,2,15.95,53.70390951994051
1577416800,28292,28292,28287,28287,28300,NaN,NaN,NaN,NaN,28289.5,2,15.4,53.757421359443015
1577417100,28286,28286,28284,28284,28296.52,NaN,NaN,NaN,NaN,28285,3,13.5,53.633043314933204
1577417400,28280,28280,28280,28280,28293.4576,NaN,NaN,NaN,NaN,28280,3,12.6,53.27699953149912
1577417700,28273,28273,28270,28270,28290.762688000003,NaN,NaN,NaN,NaN,28271.5,2,10.95,52.348746369998736
1577418000,28260,28262,28260,28262,28287.855911680002,NaN,NaN,NaN,NaN,28261,7,10.25,50.914124192764895
1577418300,28265,28268,28264,28268,28283.3989658112,NaN,NaN,NaN,NaN,28266.25,13,9.05,49.754285803319455
1577418600,28273,28276,28272,28276,28279.655131281408,NaN,NaN,NaN,NaN,28274.25,3,8.1,48.90429359006322
1577418900,28276,28276,28274,28274,28276.510310276382,NaN,NaN,NaN,NaN,28275,27,7.3,48.115015106325295
1577422800,28281,28288,28277,28287,28260,28260,28260,NaN,NaN,28283.25,9,7.45,47.72848707246911
1577423100,28291,28291,28291,28291,28262.8,NaN,NaN,NaN,NaN,28291,1,7.05,47.45377685176852
1577423700,28283,28283,28283,28283,28266.184,NaN,NaN,NaN,NaN,28283,1,6.55,46.62528778252984
1577424300,28269,28269,28269,28269,28291,NaN,NaN,28291,28291,28269,1,5.3,44.93270798587424
1577424600,28271,28271,28271,28271,28288.8,NaN,NaN,NaN,NaN,28271,1,4.95,43.440444643589956
1577424900,28250,28250,28230,28235,28286.82,NaN,NaN,NaN,NaN,28241.25,8,5.3,40.76054605083213
1577425200,28249,28250,28246,28246,28280.0016,NaN,NaN,NaN,NaN,28247.75,4,5.25,38.272068786128436
1577425500,28246,28256,28246,28254,28274.001408,NaN,NaN,NaN,NaN,28250.5,5,5.25,35.663376410725576
1577425800,28253,28253,28240,28240,28268.721239040002,NaN,NaN,NaN,NaN,28246.5,4,5.15,33.52655039466973
1577426400,28253,28253,28241,28241,28264.074690355203,NaN,NaN,NaN,NaN,28247,6,5.4,31.542354808332153
1577426700,28235,28238,28233,28233,28259.98572751258,NaN,NaN,NaN,NaN,28234.75,5,5.35,30.09838295040922
1577427900,28260,28260,28248,28248,28230,28230,28230,NaN,NaN,28254,3,5.4,28.32548895878763
1577428200,28249,28255,28249,28255,28233,NaN,NaN,NaN,NaN,28252,3,5.45,26.679230252281872
1577428500,28278,28278,28269,28269,28235.7,NaN,NaN,NaN,NaN,28273.5,3,5.45,26.186740431184457
1577428800,28271,28271,28271,28271,28240.776,NaN,NaN,NaN,NaN,28271,1,5.35,25.729428454451142
1577429100,28271,28274,28268,28273,28245.24288,NaN,NaN,NaN,NaN,28271.5,13,5.9,25.304781618913065
1577429700,28268,28268,28268,28268,28249.173734400003,NaN,NaN,NaN,NaN,28268,1,5.6,24.910466700199134
1577430000,28264,28264,28264,28264,28252.632886272004,NaN,NaN,NaN,NaN,28264,2,5.05,24.24840136401314
1577430300,28285,28287,28278,28278,28255.67693991936,NaN,NaN,NaN,NaN,28282,5,5.15,24.696474857857623
1577431500,28284,28284,28284,28284,28260.062168330653,NaN,NaN,NaN,NaN,28284,1,3.85,25.11254310214178
1577431800,28280,28280,28280,28280,28263.83346476436,NaN,NaN,NaN,NaN,28280,2,3.5,25.17860201683862
1577432100,28281,28283,28277,28278,28267.07677969735,NaN,NaN,NaN,NaN,28279.75,24,4.65,25.239942437628542
1577432400,28280,28280,28280,28280,28269.86603053972,NaN,NaN,NaN,NaN,28280,1,4.65,25.29690139979061
1577432700,28293,28297,28293,28297,28272.26478626416,NaN,NaN,NaN,NaN,28295,2,4.7,26.164621653703314
1577433000,28297,28303,28297,28303,28276.222420461894,NaN,NaN,NaN,NaN,28300,18,5.55,27.21779754062798
1577433300,28305,28309,28305,28308,28281.042384778753,NaN,NaN,NaN,NaN,28306.75,4,5.35,28.43329305700656
1577433600,28310,28312,28290,28290,28286.633907823,NaN,NaN,NaN,NaN,28300.5,20,6.15,28.20631133666106
1577433900,28282,28282,28282,28282,28312,NaN,NaN,28312,28312,28282,1,5.95,27.36687879139209
1577434800,28288,28288,28288,28288,28312,NaN,NaN,NaN,NaN,28288,1,5.8,26.907898246343375
1577435100,28298,28298,28293,28293,28309,NaN,NaN,NaN,NaN,28295.5,4,5.7,26.978191914283666
1577439600,28319,28319,28319,28319,28282,28282,28282,NaN,NaN,28319,1,5.5,27.897720585127097
1577442000,28307,28313,28307,28313,28285.7,NaN,NaN,NaN,NaN,28310,3,5.5,27.826420560843818
1577442300,28313,28313,28313,28313,28289.03,NaN,NaN,NaN,NaN,28313,1,5.4,27.760213395437916
1577442900,28310,28312,28310,28312,28292.027,NaN,NaN,NaN,NaN,28311,2,5.35,27.46170427809538
1577443200,28314,28314,28314,28314,28294.724299999998,NaN,NaN,NaN,NaN,28314,2,5.4,27.28510878713356
1577443500,28314,28314,28314,28314,28297.151869999998,NaN,NaN,NaN,NaN,28314,1,4.8,27.12112725981187
1577444100,28328,28328,28328,28328,28299.336682999998,NaN,NaN,NaN,NaN,28328,1,4.8,27.666128598200924
1577445600,28325,28333,28325,28329,28302.776281039998,NaN,NaN,NaN,NaN,28328,3,4.85,28.394361482375448
1577446500,28333,28344,28333,28344,28307.007601694397,NaN,NaN,NaN,NaN,28338.5,2,4.7,29.520971606381213
1577446800,28339,28339,28339,28339,28312.926385423292,NaN,NaN,NaN,NaN,28339,1,4.7,30.56710957867228
1577447700,28327,28328,28327,28328,28317.898163755566,NaN,NaN,NaN,NaN,28327.5,2,4.7,30.366876288812488
1577448300,28329,28329,28329,28329,28322.074457554674,NaN,NaN,NaN,NaN,28329,1,3.55,30.23309813602637
1577450400,28328,28328,28326,28326,28325.582544345925,NaN,NaN,NaN,NaN,28327,2,3.6,29.818636467977477
1577450700,28320,28320,28320,28320,28344,NaN,NaN,28344,28344,28320,1,3.55,28.86701968342999
1577451900,28330,28330,28330,28330,28341.6,NaN,NaN,NaN,NaN,28330,2,2.75,28.595937255550663
1577453100,28322,28322,28322,28322,28339.44,NaN,NaN,NaN,NaN,28322,1,2.6,27.618017567236443
1577453400,28328,28328,28326,28326,28337.496,NaN,NaN,NaN,NaN,28327,2,1.7,27.084430171092404
