time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1590752400,22655,22655,22654,22654,NaN,NaN,NaN,NaN,NaN,NaN,2,2,22643.472,NaN,NaN,NaN,NaN,22654.5,22643.472,NaN,NaN,NaN,NaN,22654.5,11.166393239257625,57.064140372927376
1590752700,22675,22700,22675,22700,NaN,NaN,NaN,NaN,NaN,NaN,4,2.05,22647.977600000002,NaN,NaN,NaN,NaN,22687.5,22647.977600000002,NaN,NaN,NaN,NaN,22687.5,12.467805785624684,65.45158679657413
1590753300,22700,22712,22700,22709,NaN,NaN,NaN,NaN,NaN,NaN,4,2.15,22654,NaN,NaN,NaN,NaN,22705.25,22654,NaN,NaN,NaN,NaN,22705.25,13.94629961460066,66.81739414877548
1590753900,22722,22725,22722,22725,NaN,NaN,NaN,NaN,NaN,NaN,2,2.15,22669.08,NaN,NaN,NaN,NaN,22723.5,22670.24,NaN,NaN,NaN,NaN,22723.5,15.599835820936875,69.15218461236327
1590754200,22740,22754,22735,22754,NaN,NaN,NaN,NaN,NaN,NaN,10,2.6,22685.2968,NaN,NaN,NaN,NaN,22745.75,22686.668,NaN,NaN,NaN,NaN,22745.75,17.69131403088299,72.87724955782488
1590754500,22757,22761,22737,22737,NaN,NaN,NaN,NaN,NaN,NaN,7,2.9,22705.907760000002,NaN,NaN,NaN,NaN,22748,22706.8676,NaN,NaN,NaN,NaN,22748,19.756109314931994,67.71510017622475
1590755400,22722,22722,22702,22702,NaN,NaN,NaN,NaN,NaN,NaN,6,3.05,22761,NaN,NaN,22761,22761,22712,22761,NaN,NaN,22761,22761,22712,20.16862833340313,58.52383716285224
1590755700,22700,22700,22700,22700,NaN,NaN,NaN,NaN,NaN,NaN,2,3.05,22761,NaN,NaN,NaN,NaN,22700,22761,NaN,NaN,NaN,NaN,22700,20.47308181982377,58.03904392550636
1590756000,22691,22691,22691,22691,NaN,NaN,NaN,NaN,NaN,NaN,1,2.6,22746.97,NaN,NaN,NaN,NaN,22691,22746.36,NaN,NaN,NaN,NaN,22691,20.393606352846867,55.79904543181344
1590756300,22697,22700,22680,22680,NaN,NaN,NaN,NaN,NaN,NaN,4,2.75,22732.4178,NaN,NaN,NaN,NaN,22689.25,22730.8592,NaN,NaN,NaN,NaN,22689.25,19.885794410281946,53.10149788965403
1590756600,22695,22705,22695,22705,NaN,NaN,NaN,NaN,NaN,NaN,2,2.8,22717.216637999998,NaN,NaN,NaN,NaN,22700,22715.60144,NaN,NaN,NaN,NaN,22700,19.564850640086565,58.06359789600816
1590756900,22705,22706,22705,22706,NaN,NaN,NaN,NaN,NaN,NaN,2,2.85,22706.42381298,NaN,NaN,NaN,NaN,22705.5,22680,22680,22680,NaN,NaN,22705.5,19.29831397253087,58.253866648867316
1590757200,22673,22673,22673,22673,NaN,NaN,NaN,NaN,NaN,NaN,1,2.85,22706,NaN,NaN,NaN,NaN,22673,22706,NaN,NaN,22706,22706,22673,18.048191249340075,50.16519138024336
1590757500,22650,22656,22620,22620,NaN,NaN,NaN,NaN,NaN,NaN,7,3.1,22706,NaN,NaN,NaN,NaN,22636.5,22706,NaN,NaN,NaN,NaN,22636.5,18.385042267152045,40.450605659898386
1590757800,22630,22630,22600,22600,NaN,NaN,NaN,NaN,NaN,NaN,4,3.25,22680.2,NaN,NaN,NaN,NaN,22615,22685.36,NaN,NaN,NaN,NaN,22615,19.138299581500632,37.499491565918206
1590758100,22630,22630,22620,22623,NaN,NaN,NaN,NaN,NaN,NaN,5,3.45,22656.14,NaN,NaN,NaN,NaN,22625.75,22661.4592,NaN,NaN,NaN,NaN,22625.75,19.837752801967177,42.67865775283501
1590758400,22601,22601,22590,22590,NaN,NaN,NaN,NaN,NaN,NaN,4,3.6,22639.298,NaN,NaN,NaN,NaN,22595.5,22644.250624,NaN,NaN,NaN,NaN,22595.5,21.106335437982455,37.834333830306775
1590758700,22599,22603,22584,22591,NaN,NaN,NaN,NaN,NaN,NaN,8,3.85,22630,NaN,NaN,NaN,NaN,22594.25,22630,NaN,NaN,NaN,NaN,22594.25,22.398389101575336,38.06375739395458
1590759000,22560,22560,22530,22556,NaN,NaN,NaN,NaN,NaN,NaN,8,4.2,22616.2,NaN,NaN,NaN,NaN,22551.5,22616.2,NaN,NaN,NaN,NaN,22551.5,24.461432738472833,33.41551924009569
1590759300,22553,22562,22548,22562,NaN,NaN,NaN,NaN,NaN,NaN,4,4.35,22603,NaN,NaN,NaN,NaN,22556.25,22603,NaN,NaN,NaN,NaN,22556.25,26.292122055405713,34.88355054271817
1590759600,22552,22558,22545,22558,NaN,NaN,NaN,NaN,NaN,NaN,4,4.45,22581.1,NaN,NaN,NaN,NaN,22553.25,22581.1,NaN,NaN,NaN,NaN,22553.25,28.036775378271635,34.33998018779616
1590759900,22589,22589,22589,22589,NaN,NaN,NaN,NaN,NaN,NaN,1,4.3,22530,22530,22530,NaN,NaN,22589,22530,22530,22530,NaN,NaN,22589,28.337872084745193,41.89652980186352
1590760200,22577,22577,22577,22577,NaN,NaN,NaN,NaN,NaN,NaN,1,4.15,22541.8,NaN,NaN,NaN,NaN,22577,22541.8,NaN,NaN,NaN,NaN,22577,28.852602918379162,39.97850881309213
1590760500,22550,22550,22550,22550,NaN,NaN,NaN,NaN,NaN,NaN,2,4.15,22589,NaN,NaN,22589,22589,22550,22589,NaN,NaN,22589,22589,22550,29.81554456850991,35.98657759044768
1590761100,22591,22592,22530,22530,NaN,NaN,NaN,NaN,NaN,NaN,4,3.85,22530,NaN,NaN,NaN,NaN,22560.75,22530,NaN,NaN,NaN,NaN,22560.75,29.184745559846615,33.33158484950424
1590761400,22529,22560,22520,22560,NaN,NaN,NaN,NaN,NaN,NaN,6,3.8,22592,NaN,NaN,NaN,NaN,22542.25,22592,NaN,NaN,NaN,NaN,22542.25,28.808033674789186,40.4309484514827
1590761700,22565,22578,22565,22578,NaN,NaN,NaN,NaN,NaN,NaN,2,3.6,22520,22520,22520,NaN,NaN,22571.5,22520,22520,22520,NaN,NaN,22571.5,27.86537121599145,44.265869706996405
1590762000,22580,22580,22557,22569,NaN,NaN,NaN,NaN,NaN,NaN,3,3.65,22520,NaN,NaN,NaN,NaN,22571.5,22520,NaN,NaN,NaN,NaN,22571.5,27.177293606491386,42.78280629286281
1590762300,22520,22520,22520,22520,NaN,NaN,NaN,NaN,NaN,NaN,2,3.7,22580,NaN,NaN,22580,22580,22520,22580,NaN,NaN,22580,22580,22520,27.32096158599635,35.758434758678135
1590762600,22555,22555,22555,22555,NaN,NaN,NaN,NaN,NaN,NaN,1,3.55,22580,NaN,NaN,NaN,NaN,22555,22580,NaN,NaN,NaN,NaN,22555,26.346055681578296,42.9621715514308
1590762900,22565,22565,22565,22565,NaN,NaN,NaN,NaN,NaN,NaN,1,3.5,22568,NaN,NaN,NaN,NaN,22565,22568,NaN,NaN,NaN,NaN,22565,25.151419169282097,44.86451768255602
1590763500,22543,22543,22518,22518,NaN,NaN,NaN,NaN,NaN,NaN,6,3.7,22565,NaN,NaN,NaN,NaN,22530.5,22565,NaN,NaN,NaN,NaN,22530.5,25.028663844223797,38.38464303819333
1590764100,22555,22555,22555,22555,NaN,NaN,NaN,NaN,NaN,NaN,1,3.7,22518,22518,22518,NaN,NaN,22555,22518,22518,22518,NaN,NaN,22555,24.55914751127757,45.10627670507308
