time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1584935700,21580,21580,21549,21549,NaN,NaN,NaN,NaN,NaN,NaN,26,8.35,21659,NaN,NaN,21659,21659,21564.5,21659,NaN,NaN,21659,21659,21564.5,24.64308740100762,46.49850968310445
1584939300,21688,21688,21688,21688,NaN,NaN,NaN,NaN,NaN,NaN,1,8,21549,21549,21549,NaN,NaN,21688,21549,21549,21549,NaN,NaN,21688,23.062149835875864,53.74371986519321
1584939600,21603,21603,21500,21500,NaN,NaN,NaN,NaN,NaN,NaN,7,7.4,21688,NaN,NaN,21688,21688,21551.5,21688,NaN,NaN,21688,21688,21551.5,22.53002334683605,44.88937556243739
1584939900,21504,21504,21450,21450,NaN,NaN,NaN,NaN,NaN,NaN,5,7.4,21688,NaN,NaN,NaN,NaN,21477,21688,NaN,NaN,NaN,NaN,21477,22.326404580486606,42.86661395911872
1584940500,21340,21363,21320,21362,NaN,NaN,NaN,NaN,NaN,NaN,48,9.4,21633.26,NaN,NaN,NaN,NaN,21346.25,21630.88,NaN,NaN,NaN,NaN,21346.25,22.81947459311104,39.49354938951816
1584940800,21355,21355,21342,21342,NaN,NaN,NaN,NaN,NaN,NaN,2,9.25,21551.8124,NaN,NaN,NaN,NaN,21348.5,21543.8336,NaN,NaN,NaN,NaN,21348.5,23.277325319119438,38.74730853319418
1584941100,21348,21348,21348,21348,NaN,NaN,NaN,NaN,NaN,NaN,1,9.05,21491.541176,NaN,NaN,NaN,NaN,21348,21481.160192000003,NaN,NaN,NaN,NaN,21348,23.702472421841524,39.11896425766605
1584941700,21376,21376,21376,21376,NaN,NaN,NaN,NaN,NaN,NaN,1,8.95,21446.94047024,NaN,NaN,NaN,NaN,21376,21436.035338240003,NaN,NaN,NaN,NaN,21376,23.811159746787474,40.9205041965394
1584942000,21370,21370,21350,21350,NaN,NaN,NaN,NaN,NaN,NaN,2,8.8,21413.9359479776,NaN,NaN,NaN,NaN,21360,21403.545443532803,NaN,NaN,NaN,NaN,21360,24.072648483052344,39.74442102146652
1584942600,21350,21350,21350,21350,NaN,NaN,NaN,NaN,NaN,NaN,1,8.65,21389.512601503422,NaN,NaN,NaN,NaN,21350,21380.15271934362,NaN,NaN,NaN,NaN,21350,24.31545945244115,39.74442102146652
1584942900,21388,21388,21388,21388,NaN,NaN,NaN,NaN,NaN,NaN,1,8.3,21320,21320,21320,NaN,NaN,21388,21320,21320,21320,NaN,NaN,21388,24.09945953893978,42.54350424510359
1584943500,21448,21448,21448,21448,NaN,NaN,NaN,NaN,NaN,NaN,1,8.25,21333.6,NaN,NaN,NaN,NaN,21448,21333.6,NaN,NaN,NaN,NaN,21448,23.23901509441308,46.74973108185816
1584943800,21453,21453,21400,21400,NaN,NaN,NaN,NaN,NaN,NaN,4,8.2,21359.912,NaN,NaN,NaN,NaN,21426.5,21361.056,NaN,NaN,NaN,NaN,21426.5,22.82686312115896,43.976122580472165
1584944100,21425,21425,21425,21425,NaN,NaN,NaN,NaN,NaN,NaN,1,8.15,21384.11488,NaN,NaN,NaN,NaN,21425,21386.800320000002,NaN,NaN,NaN,NaN,21425,22.44415057456585,45.78041002268627
1584945000,21373,21373,21373,21373,NaN,NaN,NaN,NaN,NaN,NaN,22,8.8,21453,NaN,NaN,21453,21453,21373,21453,NaN,NaN,21453,21453,21373,22.51211312009744,42.700000470153
1584945300,21326,21326,21300,21300,NaN,NaN,NaN,NaN,NaN,NaN,4,8.65,21437,NaN,NaN,NaN,NaN,21313,21437,NaN,NaN,NaN,NaN,21313,23.111098587684893,38.757360043214575
1584945600,21300,21310,21280,21310,NaN,NaN,NaN,NaN,NaN,NaN,5,7,21405.49,NaN,NaN,NaN,NaN,21300,21404.12,NaN,NaN,NaN,NaN,21300,23.80591863392885,39.580358943822034
1584945900,21314,21325,21299,21321,NaN,NaN,NaN,NaN,NaN,NaN,9,7.4,21372.8626,NaN,NaN,NaN,NaN,21314.75,21369.3664,NaN,NaN,NaN,NaN,21314.75,24.24065264521257,40.52712279964146
1584946200,21322,21322,21322,21322,NaN,NaN,NaN,NaN,NaN,NaN,1,7.35,21348.718324,NaN,NaN,NaN,NaN,21322,21344.343807999998,NaN,NaN,NaN,NaN,21322,24.644334227118886,40.61822077669778
1584947700,21421,21421,21421,21421,NaN,NaN,NaN,NaN,NaN,NaN,1,7.15,21280,21280,21280,NaN,NaN,21421,21280,21280,21280,NaN,NaN,21421,23.672606597008745,48.954415367455
