time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1597242600,25389,25400,25377,25384,NaN,NaN,NaN,NaN,NaN,NaN,519,323.3,25332,NaN,NaN,NaN,NaN,25387.5,25332,NaN,NaN,NaN,NaN,25387.5,20.311368635755063,68.19422472386023
1597242900,25383,25399,25375,25375,NaN,NaN,NaN,NaN,NaN,NaN,281,330.25,25352.4,NaN,NaN,NaN,NaN,25383,25352.4,NaN,NaN,NaN,NaN,25383,22.04111316368842,64.47708882753437
1597243200,25375,25391,25366,25380,NaN,NaN,NaN,NaN,NaN,NaN,232,329.1,25400,NaN,NaN,25400,25400,25378,25400,NaN,NaN,25400,25400,25378,22.990785610754653,65.598964013731
1597243500,25384,25395,25380,25390,NaN,NaN,NaN,NaN,NaN,NaN,190,327.95,25366,25366,25366,NaN,NaN,25387.25,25366,25366,25366,NaN,NaN,25387.25,24.009062170089184,67.78996167075614
1597243800,25391,25416,25380,25412,NaN,NaN,NaN,NaN,NaN,NaN,515,345.9,25366,NaN,NaN,NaN,NaN,25399.75,25366,NaN,NaN,NaN,NaN,25399.75,25.596082101121915,72.01307672097187
1597244100,25412,25429,25405,25414,NaN,NaN,NaN,NaN,NaN,NaN,392,352.45,25377.5,NaN,NaN,NaN,NaN,25415,25378,NaN,NaN,NaN,NaN,25415,27.404276610944144,72.36776729511293
1597244400,25412,25416,25388,25398,NaN,NaN,NaN,NaN,NaN,NaN,252,361.15,25429,NaN,NaN,25429,25429,25403.5,25429,NaN,NaN,25429,25429,25403.5,27.90559789407198,65.24399977683521
1597244700,25398,25410,25385,25395,NaN,NaN,NaN,NaN,NaN,NaN,213,359.85,25429,NaN,NaN,NaN,NaN,25397,25429,NaN,NaN,NaN,NaN,25397,28.17580025589235,63.9724208983208
1597245000,25398,25404,25387,25388,NaN,NaN,NaN,NaN,NaN,NaN,127,330.85,25418.88,NaN,NaN,NaN,NaN,25394.25,25418.44,NaN,NaN,NaN,NaN,25394.25,28.426702449011266,60.98571593859672
1597245300,25391,25395,25370,25379,NaN,NaN,NaN,NaN,NaN,NaN,426,334.85,25411.087600000003,NaN,NaN,NaN,NaN,25383.75,25410.414399999998,NaN,NaN,NaN,NaN,25383.75,27.550495233460815,57.28272732011327
1597245600,25379,25396,25375,25393,NaN,NaN,NaN,NaN,NaN,NaN,125,323.45,25404,NaN,NaN,NaN,NaN,25385.75,25404,NaN,NaN,NaN,NaN,25385.75,26.78127735896339,61.22664500211936
1597245900,25395,25407,25388,25391,NaN,NaN,NaN,NaN,NaN,NaN,204,313.65,25370,25370,25370,NaN,NaN,25395.25,25370,25370,25370,NaN,NaN,25395.25,26.546953296019186,60.369160840471736
1597246200,25391,25407,25389,25401,NaN,NaN,NaN,NaN,NaN,NaN,119,300.1,25375,NaN,NaN,NaN,NaN,25397,25375,NaN,NaN,NaN,NaN,25397,26.329366666142423,63.14822601153159
1597246500,25404,25413,25390,25410,NaN,NaN,NaN,NaN,NaN,NaN,168,291.05,25381.4,NaN,NaN,NaN,NaN,25404.25,25381.4,NaN,NaN,NaN,NaN,25404.25,26.392859441352694,65.49349989896899
1597246800,25409,25428,25409,25414,NaN,NaN,NaN,NaN,NaN,NaN,211,290.4,25388.668,NaN,NaN,NaN,NaN,25415,25388.984,NaN,NaN,NaN,NaN,25415,27.05329091620266,66.51351567465454
1597247100,25413,25424,25403,25407,NaN,NaN,NaN,NaN,NaN,NaN,159,289.35,25390,NaN,NaN,NaN,NaN,25411.75,25390,NaN,NaN,NaN,NaN,25411.75,27.206609200830894,63.003619970241644
1597247400,25407,25414,25396,25402,NaN,NaN,NaN,NaN,NaN,NaN,113,278.5,25428,NaN,NaN,25428,25428,25404.75,25428,NaN,NaN,25428,25428,25404.75,26.829519785590772,60.54593645539581
1597247700,25401,25407,25395,25395,NaN,NaN,NaN,NaN,NaN,NaN,102,266.25,25424,NaN,NaN,NaN,NaN,25399.5,25424,NaN,NaN,NaN,NaN,25399.5,26.404594778663,57.18284314599915
1597248000,25394,25408,25391,25403,NaN,NaN,NaN,NaN,NaN,NaN,87,248.05,25417.33,NaN,NaN,NaN,NaN,25399,25417.04,NaN,NaN,NaN,NaN,25399,25.70208663141193,59.9227066655306
1597248300,25403,25417,25402,25412,NaN,NaN,NaN,NaN,NaN,NaN,84,225.95,25391,25391,25391,NaN,NaN,25408.5,25391,25391,25391,NaN,NaN,25408.5,25.52377927539446,62.80619944205499
1597248600,25415,25423,25410,25415,NaN,NaN,NaN,NaN,NaN,NaN,85,204.25,25391,NaN,NaN,NaN,NaN,25415.75,25391,NaN,NaN,NaN,NaN,25415.75,25.654538363323493,63.74263974109163
1597248900,25418,25422,25411,25415,NaN,NaN,NaN,NaN,NaN,NaN,53,192.85,25398.36,NaN,NaN,NaN,NaN,25416.5,25398.68,NaN,NaN,NaN,NaN,25416.5,25.775957516400457,63.74263974109163
1597249200,25415,25429,25415,25429,NaN,NaN,NaN,NaN,NaN,NaN,84,185.45,25404.0272,NaN,NaN,NaN,NaN,25422,25404.5168,NaN,NaN,NaN,NaN,25422,26.2421590936739,68.0907652696325
1597249500,25429,25432,25413,25421,NaN,NaN,NaN,NaN,NaN,NaN,143,183.1,25410.520128,NaN,NaN,NaN,NaN,25423.75,25411,NaN,NaN,NaN,NaN,25423.75,26.822448021889922,63.41106965766933
1597249800,25425,25429,25415,25426,NaN,NaN,NaN,NaN,NaN,NaN,88,161.75,25432,NaN,NaN,25432,25432,25423.75,25432,NaN,NaN,25432,25432,25423.75,27.361287740947652,65.02879464085534
1597250100,25427,25427,25417,25425,NaN,NaN,NaN,NaN,NaN,NaN,32,143.75,25432,NaN,NaN,NaN,NaN,25424,25432,NaN,NaN,NaN,NaN,25424,27.86163890864412,64.41537287290579
1597250400,25421,25423,25417,25420,NaN,NaN,NaN,NaN,NaN,NaN,29,132.6,25429,NaN,NaN,NaN,NaN,25420.25,25429,NaN,NaN,NaN,NaN,25420.25,28.32625070721941,61.30164744688629
1597250700,25420,25422,25400,25402,NaN,NaN,NaN,NaN,NaN,NaN,134,128.65,25427,NaN,NaN,NaN,NaN,25411,25427,NaN,NaN,NaN,NaN,25411,26.948323709310806,51.62663014922416
1597251000,25400,25401,25389,25389,NaN,NaN,NaN,NaN,NaN,NaN,107,127.65,25423,NaN,NaN,NaN,NaN,25394.75,25423,NaN,NaN,NaN,NaN,25394.75,25.282392051683473,45.982144693145514
1597251300,25388,25392,25355,25367,NaN,NaN,NaN,NaN,NaN,NaN,315,122.1,25422,NaN,NaN,NaN,NaN,25375.5,25422,NaN,NaN,NaN,NaN,25375.5,25.654432765692732,38.34217937940455
1597251600,25366,25374,25360,25360,NaN,NaN,NaN,NaN,NaN,NaN,200,125.85,25402.57,NaN,NaN,NaN,NaN,25365,25401.9,NaN,NaN,NaN,NaN,25365,25.999899142987044,36.27683896731356
1597251900,25360,25371,25357,25362,NaN,NaN,NaN,NaN,NaN,NaN,93,120.3,25392,NaN,NaN,NaN,NaN,25362.5,25392,NaN,NaN,NaN,NaN,25362.5,26.458392620314758,37.31577721013245
1597252200,25360,25364,25344,25346,NaN,NaN,NaN,NaN,NaN,NaN,238,126.25,25381.27,NaN,NaN,NaN,NaN,25353.5,25380.9,NaN,NaN,NaN,NaN,25353.5,27.43732865169486,32.71980124505677
1597252500,25345,25356,25339,25345,NaN,NaN,NaN,NaN,NaN,NaN,144,125.05,25371,NaN,NaN,NaN,NaN,25346.25,25371,NaN,NaN,NaN,NaN,25346.25,28.54002185325707,32.45078705272921
1597252800,25346,25349,25342,25342,NaN,NaN,NaN,NaN,NaN,NaN,60,117.5,25364,NaN,NaN,NaN,NaN,25344.75,25364,NaN,NaN,NaN,NaN,25344.75,29.56395125470769,31.611113888918837
1597253100,25341,25344,25324,25340,NaN,NaN,NaN,NaN,NaN,NaN,138,116.45,25356.5,NaN,NaN,NaN,NaN,25337.25,25356.5,NaN,NaN,NaN,NaN,25337.25,31.16392134677608,31.03458065823871
1597253400,25342,25364,25342,25356,NaN,NaN,NaN,NaN,NaN,NaN,150,118.3,25324,25324,25324,NaN,NaN,25351,25324,25324,25324,NaN,NaN,25351,30.91366200518345,40.39959461917012
1597253700,25352,25369,25351,25363,NaN,NaN,NaN,NaN,NaN,NaN,72,116.8,25324,NaN,NaN,NaN,NaN,25358.75,25324,NaN,NaN,NaN,NaN,25358.75,30.304861498386675,43.98349397555139
1597254000,25365,25367,25359,25363,NaN,NaN,NaN,NaN,NaN,NaN,55,115.2,25334.35,NaN,NaN,NaN,NaN,25363.5,25334.8,NaN,NaN,NaN,NaN,25363.5,29.73954674207538,43.98349397555139
1597254300,25359,25369,25348,25369,NaN,NaN,NaN,NaN,NaN,NaN,132,117.6,25342.319499999998,NaN,NaN,NaN,NaN,25361.25,25343.007999999998,NaN,NaN,NaN,NaN,25361.25,29.74285032404162,47.143085749143744
1597254600,25367,25374,25362,25365,NaN,NaN,NaN,NaN,NaN,NaN,83,117.5,25348,NaN,NaN,NaN,NaN,25367,25348,NaN,NaN,NaN,NaN,25367,29.332770697224607,45.30829678726657
1597254900,25365,25385,25365,25376,NaN,NaN,NaN,NaN,NaN,NaN,79,118.8,25348,NaN,NaN,NaN,NaN,25372.75,25348,NaN,NaN,NaN,NaN,25372.75,28.106081276165096,50.9606605303493
1597255200,25374,25383,25374,25383,NaN,NaN,NaN,NaN,NaN,NaN,59,117.55,25358.73,NaN,NaN,NaN,NaN,25378.5,25359.1,NaN,NaN,NaN,NaN,25378.5,26.967012528038403,54.20423595204694
1597255500,25379,25386,25369,25375,NaN,NaN,NaN,NaN,NaN,NaN,62,113.5,25365,NaN,NaN,NaN,NaN,25377.25,25365,NaN,NaN,NaN,NaN,25377.25,26.210053856540412,50.12385697393568
1597255800,25377,25380,25375,25376,NaN,NaN,NaN,NaN,NaN,NaN,33,110.75,25369,NaN,NaN,NaN,NaN,25377,25369,NaN,NaN,NaN,NaN,25377,25.507163661577987,50.62420942667247
1597256100,25374,25381,25373,25379,NaN,NaN,NaN,NaN,NaN,NaN,21,110.2,25386,NaN,NaN,25386,25386,25376.75,25386,NaN,NaN,25386,25386,25376.75,24.984421552733814,52.17427707776586
1597256400,25376,25390,25376,25390,NaN,NaN,NaN,NaN,NaN,NaN,41,110.8,25373,25373,25373,NaN,NaN,25383,25373,25373,25373,NaN,NaN,25383,23.69395205732079,57.449030516302834
