time,open,high,low,close
1602143700,24130,24140,24130,24140
1602144000,24117,24117,24117,24117
1602144300,24130,24140,24130,24140
1602144600,24110,24110,24100,24104
1602144900,24095,24095,24094,24094
1602145200,24097,24097,24097,24097
1602145500,24090,24090,24087,24087
1602149700,24119,24119,24119,24119
1602151200,24130,24130,24130,24130
1602151800,24140,24140,24140,24140
1602153000,24150,24150,24150,24150
1602153300,24150,24150,24150,24150
1602153900,24155,24160,24155,24160
1602156900,24117,24117,24117,24117
1602160200,24100,24100,24100,24100
1602160500,24107,24107,24107,24107
1602161700,24126,24126,24126,24126
1602163200,24117,24117,24117,24117
1602163800,24139,24139,24139,24139
1602164100,24116,24143,24116,24143
1602164700,24134,24134,24134,24134
1602165300,24149,24149,24149,24149
1602165600,24134,24134,24134,24134
1602166200,24133,24133,24133,24133
1602166800,24143,24143,24140,24140
1602167400,24126,24145,24126,24145
1602168000,24152,24152,24152,24152
1602168900,24157,24157,24157,24157
1602169200,24162,24163,24162,24163
1602170100,24189,24189,24189,24189
1602170400,24169,24169,24169,24169
1602170700,24167,24167,24167,24167
1602171300,24157,24157,24157,24157
1602171600,24195,24195,24195,24195
1602176100,24220,24220,24220,24220
1602176400,24214,24214,24214,24214
1602176700,24209,24209,24209,24209
1602181800,24235,24235,24235,24235
1602182700,24230,24230,24230,24230
1602183000,24227,24227,24216,24216
1602183300,24214,24214,24206,24206
1602206100,24307,24326,24307,24310
1602206400,24320,24320,24307,24307
1602206700,24306,24306,24300,24300
1602207000,24282,24285,24246,24246
1602207300,24213,24256,24213,24236
1602207600,24226,24228,24216,24216
1602207900,24206,24209,24151,24153
1602208200,24142,24142,24114,24114
1602208500,24076,24103,24070,24099
1602208800,24123,24123,24123,24123
1602209100,24116,24138,24116,24138
1602209400,24123,24155,24120,24148
1602209700,24150,24159,24150,24152
1602210000,24164,24210,24164,24170
1602210300,24164,24164,24150,24150
1602210600,24151,24151,24151,24151
1602211200,24154,24154,24133,24133
1602211500,24123,24123,24113,24113
1602211800,24129,24139,24129,24129
1602212100,24143,24156,24143,24156
1602212400,24166,24175,24166,24173
1602212700,24166,24166,24162,24162
1602213000,24159,24162,24157,24158
1602213600,24215,24220,24215,24220
1602213900,24228,24235,24200,24200
1602214200,24195,24195,24170,24172
1602214800,24175,24179,24175,24175
1602215100,24172,24172,24160,24160
1602215400,24156,24156,24156,24156
1602215700,24170,24170,24170,24170
1602219600,24156,24156,24156,24156
1602219900,24154,24154,24144,24144
1602220200,24131,24131,24131,24131
1602220500,24131,24131,24131,24131
1602220800,24139,24140,24139,24140
1602221100,24133,24135,24122,24135
1602221700,24133,24150,24133,24150
1602222000,24145,24145,24137,24137
1602222300,24145,24145,24145,24145
1602222600,24144,24144,24136,24136
1602223200,24110,24110,24110,24110
1602223500,24104,24104,24104,24104
1602223800,24100,24100,24083,24083
1602224400,24100,24100,24100,24100
1602224700,24053,24053,24023,24023
1602225000,24042,24062,24042,24060
1602225300,24058,24058,24040,24040
1602225600,24050,24050,24050,24050
1602225900,24024,24024,24010,24010
1602226200,24009,24025,24000,24025
1602226500,24023,24040,24023,24040
1602226800,24044,24059,24040,24059
1602227100,24060,24085,24060,24076
