time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA
1574232900,26975,26975,26975,26975,27014.470400000002,NaN,NaN,NaN,NaN,26975,1,3.2
1574233200,26978,26978,26978,26978,27006.013952,NaN,NaN,NaN,NaN,26978,1,3.05
1574233500,26981,26989,26981,26989,26998.572277760002,NaN,NaN,NaN,NaN,26985,3,3.1
1574233800,26997,26997,26997,26997,26944,26944,26944,NaN,NaN,26997,1,3.1
1574234100,26994,26994,26994,26994,26949.3,NaN,NaN,NaN,NaN,26994,1,2.75
1574235300,26995,26995,26995,26995,26954.07,NaN,NaN,NaN,NaN,26995,3,2.8
1574235600,26983,26983,26948,26948,26997,NaN,NaN,26997,26997,26965.5,2,2.8
1574235900,26965,26965,26965,26965,26995,NaN,NaN,NaN,NaN,26965,6,2.25
1574236200,26968,26975,26968,26975,26990.3,NaN,NaN,NaN,NaN,26971.5,4,2.35
1574236800,26950,26950,26950,26950,26986.07,NaN,NaN,NaN,NaN,26950,5,2.55
1574237100,26976,26976,26976,26976,26982.263,NaN,NaN,NaN,NaN,26976,3,2.45
1574237400,26951,26951,26951,26951,26978.8367,NaN,NaN,NaN,NaN,26951,1,2.45
1574237700,26941,26941,26941,26941,26976,NaN,NaN,NaN,NaN,26941,4,2.55
1574238300,26921,26921,26900,26900,26971.8,NaN,NaN,NaN,NaN,26910.5,8,2.85
1574244000,26910,26910,26910,26910,26961.748,NaN,NaN,NaN,NaN,26910,1,2.7
1574260200,26930,26930,26930,26930,26953.10328,NaN,NaN,NaN,NaN,26930,1,2.55
1574262000,26950,26950,26950,26950,26900,26900,26900,NaN,NaN,26950,1,2.55
1574263200,26920,26920,26920,26920,26905,NaN,NaN,NaN,NaN,26920,1,2.55
1574263500,26918,26918,26918,26918,26909.5,NaN,NaN,NaN,NaN,26918,1,2.5
1574268300,26895,26895,26895,26895,26950,NaN,NaN,26950,26950,26895,1,2.45
1574272500,26830,26830,26830,26830,26944.5,NaN,NaN,NaN,NaN,26830,1,2.45
1574298900,26650,26650,26642,26642,26930.76,NaN,NaN,NaN,NaN,26646,6,2.7
1574299200,26599,26600,26599,26600,26890.333599999998,NaN,NaN,NaN,NaN,26599.5,6,2.85
1574299500,26580,26580,26570,26570,26843.720223999997,NaN,NaN,NaN,NaN,26575,12,3.4
1574299800,26499,26519,26499,26518,26794.450583679998,NaN,NaN,NaN,NaN,26508.75,9,3.8
1574300100,26493,26493,26472,26472,26735.360466944,NaN,NaN,NaN,NaN,26482.5,19,4.6
1574300400,26450,26450,26278,26373,26682.6883735552,NaN,NaN,NaN,NaN,26387.75,49,6.95
1574300700,26419,26419,26392,26398,26601.75069884416,NaN,NaN,NaN,NaN,26407,7,7
1574301300,26410,26410,26410,26410,26537.000559075328,NaN,NaN,NaN,NaN,26410,4,7
1574302200,26455,26455,26438,26438,26485.200447260264,NaN,NaN,NaN,NaN,26446.5,2,6.85
1574302500,26459,26459,26459,26459,26278,26278,26278,NaN,NaN,26459,1,6.75
1574302800,26538,26538,26538,26538,26296.1,NaN,NaN,NaN,NaN,26538,1,6.75
1574304600,26587,26587,26587,26587,26325.127999999997,NaN,NaN,NaN,NaN,26587,1,6.6
1574306100,26535,26540,26534,26536,26361.79008,NaN,NaN,NaN,NaN,26536.25,11,6.75
1574306700,26547,26547,26546,26546,26393.3194688,NaN,NaN,NaN,NaN,26546.5,4,6.9
1574307000,26537,26537,26537,26537,26420.434743168,NaN,NaN,NaN,NaN,26537,1,6.9
1574307600,26544,26544,26544,26544,26443.75387912448,NaN,NaN,NaN,NaN,26544,1,6.9
1574323200,26545,26545,26545,26545,26463.808336047052,NaN,NaN,NaN,NaN,26545,2,6.95
1574323800,26546,26546,26536,26536,26481.055169000465,NaN,NaN,NaN,NaN,26541,16,7.7
1574328300,26540,26540,26540,26540,26495.8874453404,NaN,NaN,NaN,NaN,26540,10,8.15
1574328600,26540,26540,26540,26540,26508.643202992742,NaN,NaN,NaN,NaN,26540,10,8.6
1574330700,26610,26610,26610,26610,26519.61315457376,NaN,NaN,NaN,NaN,26610,1,8.35
1574346600,26601,26601,26601,26601,26534.07504984196,NaN,NaN,NaN,NaN,26601,3,8.2
1574349900,26560,26560,26560,26560,26546.223041867244,NaN,NaN,NaN,NaN,26560,1,7.65
1574352000,26600,26600,26600,26600,26556.427355168486,NaN,NaN,NaN,NaN,26600,1,7.25
1574355000,26602,26602,26602,26602,26560,NaN,NaN,NaN,NaN,26602,1,6.35
1574385300,26700,26730,26647,26669,26568,NaN,NaN,NaN,NaN,26686.5,74,7.6
1574385600,26675,26675,26675,26675,26597.16,NaN,NaN,NaN,NaN,26675,10,7.75
1574385900,26655,26700,26655,26700,26621.0712,NaN,NaN,NaN,NaN,26677.5,6,7.85
1574386200,26726,26726,26726,26726,26640.678384,NaN,NaN,NaN,NaN,26726,1,7.8
1574386500,26670,26670,26670,26670,26655,NaN,NaN,NaN,NaN,26670,5,8
1574387100,26691,26691,26668,26671,26730,NaN,NaN,26730,26730,26680.25,4,8.15
1574387400,26655,26683,26655,26683,26723.8,NaN,NaN,NaN,NaN,26669,8,8.5
1574387700,26728,26728,26728,26728,26655,26655,26655,NaN,NaN,26728,4,8.15
1574388000,26725,26725,26709,26710,26655,NaN,NaN,NaN,NaN,26717.25,3,8.1
1574388300,26683,26683,26680,26683,26662.3,NaN,NaN,NaN,NaN,26682.25,4,8.25
1574388600,26708,26708,26688,26688,26668.87,NaN,NaN,NaN,NaN,26698,5,8.45
1574388900,26665,26665,26627,26639,26728,NaN,NaN,26728,26728,26649,12,8.95
1574389500,26633,26633,26618,26618,26717.9,NaN,NaN,NaN,NaN,26625.5,8,8.55
1574390400,26640,26640,26640,26640,26705.912,NaN,NaN,NaN,NaN,26640,1,8.1
1574391000,26630,26630,26630,26630,26695.36256,NaN,NaN,NaN,NaN,26630,1,7.65
1574391300,26600,26611,26600,26610,26686.0790528,NaN,NaN,NaN,NaN,26605.25,6,7.9
1574391600,26610,26611,26585,26585,26674.027985408,NaN,NaN,NaN,NaN,26597.75,16,8.55
1574391900,26575,26575,26573,26573,26659.78350774272,NaN,NaN,NaN,NaN,26574,5,8.75
1574392200,26580,26580,26580,26580,26644.16247634903,NaN,NaN,NaN,NaN,26580,1,8.75
1574392800,26601,26601,26601,26601,26631.353230606204,NaN,NaN,NaN,NaN,26601,1,8.75
1574394000,26623,26625,26621,26621,26573,26573,26573,NaN,NaN,26622.5,8,5.45
1574394600,26625,26625,26624,26624,26578.2,NaN,NaN,NaN,NaN,26624.5,4,5.15
1574394900,26622,26629,26618,26618,26582.88,NaN,NaN,NaN,NaN,26621.75,44,7.05
1574398500,26624,26624,26624,26624,26588.4144,NaN,NaN,NaN,NaN,26624,1,7.05
1574398800,26607,26607,26607,26607,26593.284672,NaN,NaN,NaN,NaN,26607,1,6.85
1574399100,26600,26600,26600,26600,26597.57051136,NaN,NaN,NaN,NaN,26600,1,6.7
1574402400,26600,26600,26600,26600,26629,NaN,NaN,26629,26629,26600,2,6.4
1574402700,26597,26597,26592,26592,26626.1,NaN,NaN,NaN,NaN,26594.5,16,7
