time,open,high,low,close,MA,MA,Volume,Volume MA,HKEX:HSI2!: Compare,HKEX:HSI1!: Compare,ParabolicSAR,SAR,Plot,ADX,+DI,-DI
1577947500,28540,28540,28540,28540,28532.345293429615,28534.444444444445,1,6.55,NaN,NaN,28447.7456896,NaN,-0.062364548187496816,31.742691287606213,42.933355283503225,21.243484529015866
1577947800,28541,28541,28541,28541,28534.07623474369,28539.444444444445,2,6.15,NaN,NaN,28452.395862016,NaN,-0.06673056706503644,31.852587910847074,43.01284904008124,21.213892384665908
1577948400,28570,28598,28570,28598,28546.860987794953,28550.777777777777,2,5.2,NaN,NaN,28456.86002753536,NaN,-0.06864276695438654,32.33732017402731,47.408446670731365,19.57759835114792
1577949900,28564,28564,28564,28564,28550.28879023596,28554.777777777777,1,4.7,NaN,NaN,28465.32842588324,NaN,-0.06846157457634172,32.70865484961687,45.2184805012386,19.488419807001208
1577950500,28565,28565,28565,28565,28553.23103218877,28556.444444444445,2,4.3,NaN,NaN,28473.288720330245,NaN,-0.06637571848519541,33.06806474415048,45.2967139675114,19.46058840240288
1577951400,28555,28555,28544,28547,28551.984825751017,28555,11,3.95,NaN,NaN,28480.77139711043,NaN,-0.06203767634493096,33.08436306638439,43.91052382549477,21.925291216838446
1577951700,28548,28548,28548,28548,28551.187860600814,28554.88888888889,1,3.3,NaN,NaN,28487.805113283805,NaN,-0.05597620845531337,33.0998464725066,43.84327013082129,21.891710272849153
1577952000,28550,28550,28540,28540,28548.95028848065,28554.666666666668,2,2.65,NaN,NaN,28494.416806486777,NaN,-0.04906614598708503,32.98620889914076,43.147635923261106,22.813678774660502
1577952300,28560,28560,28560,28560,28551.16023078452,28555.88888888889,1,2.55,NaN,NaN,28500.63179809757,NaN,-0.042022173455193434,32.96366377804238,43.36912643581172,22.076267080188895
1577952900,28550,28550,28540,28542,28549.328184627615,28556.11111111111,27,3.8,NaN,NaN,28506.473890211713,NaN,-0.03499578850065632,32.614752646390365,41.94207061826534,24.640338010986397
1577953200,28556,28556,28545,28545,28548.462547702093,28556.555555555555,2,3.6,NaN,NaN,28511.96545679901,NaN,-0.02824392745010229,32.34015405982119,41.96373198980412,24.057057813182816
1577953500,28545,28572,28545,28572,28553.170038161676,28553.666666666668,38,5.45,NaN,NaN,28517.12752939107,NaN,-0.02172368304485972,32.22995997111485,42.756766776520244,22.95399322228203
1577956500,28630,28630,28630,28630,28568.53603052934,28561,1,5.45,NaN,NaN,28521.979877627604,NaN,-0.015226321306170965,32.6013302625095,48.13425733829973,20.79767054522293
1577958600,28619,28619,28619,28619,28578.62882442347,28567,1,5.45,NaN,NaN,28530.621487417397,NaN,-0.00817952422265067,32.769182965131016,47.24815988837124,22.255696201774043
1577958900,28639,28639,28637,28637,28590.303059538775,28577,2,5.45,NaN,NaN,28538.571768424004,NaN,-0.0026784013876091084,33.083129069737595,49.043475133497864,21.4982630847984
1577959800,28622,28622,28622,28622,28596.64244763102,28585.222222222223,1,5.45,NaN,NaN,28548.614591581605,NaN,0.002076023772636937,33.12628678557083,47.760237058365526,23.552285918608636
1577960700,28615,28615,28615,28615,28600.313958104816,28593.555555555555,1,5.35,NaN,NaN,28557.653132423446,NaN,0.006054193607515912,33.04871351712747,47.15415814744956,24.522409815519843
1577964000,28610,28610,28610,28610,28602.251166483853,28599.11111111111,1,5.25,NaN,NaN,28565.7878191811,NaN,0.009005351385166227,32.88859506640024,46.70849478774162,25.235763584218045
1577964900,28606,28606,28606,28606,28603.000933187082,28606.222222222223,1,4.95,NaN,NaN,28573.10903726299,NaN,0.01111435004284178,32.66544647869058,46.339681667788,25.82610654899907
1577965800,28603,28603,28603,28603,28603.000746549667,28612.666666666668,1,4.95,NaN,NaN,28579.69813353669,NaN,0.012612928148341696,32.39846286406204,46.05260207478247,26.28562224650009
1577966400,28615,28616,28615,28616,28605.600597239732,28617.555555555555,5,5.15,NaN,NaN,28585.628320183023,NaN,0.013544725804445212,32.28144013886454,47.5351747739647,25.563245497621512
1577967600,28620,28620,28620,28620,28608.480477791785,28616.444444444445,2,5.15,NaN,NaN,28590.965488164722,NaN,0.011589021201662275,32.21233948754722,47.998043896715316,25.33771464019151
1577970600,28613,28613,28613,28613,28609.384382233427,28615.777777777777,5,5.3,NaN,NaN,28595.76893934825,NaN,0.009448693012087395,32.00479560086629,47.2304587060691,26.531714642885618
1577971500,28627,28627,28627,28627,28612.90750578674,28614.666666666668,1,5.3,NaN,NaN,28600.092045413425,NaN,0.0072846435870688175,31.96463765472553,48.949205665456944,25.667555077506755
1577971800,28626,28630,28626,28630,28616.326004629394,28615.555555555555,2,5.3,NaN,NaN,28603.982840872082,NaN,0.005192775658929838,31.96002696718539,49.20191682058818,25.41856161459225
1577972700,28642,28642,28642,28642,28621.460803703514,28618.555555555555,1,4.8,NaN,NaN,28607.484556784875,NaN,0.0033029820574859148,32.089973789768855,50.71180237202451,24.663038639746585
1577973000,28643,28643,28643,28643,28625.768642962812,28622.222222222223,2,4.85,NaN,NaN,28611.62640997069,NaN,0.0016254212835897786,32.22470266956423,50.839977548947516,24.598901797799773
1577974200,28642,28642,28642,28642,28629.01491437025,28626.222222222223,1,4.8,NaN,NaN,28616.018712574794,NaN,0.0005018037225062999,32.32832938606037,50.70118839698564,24.804740883122005
1577975400,28629,28629,28628,28628,28628.811931496202,28629,2,4.85,NaN,NaN,28619.796092814322,NaN,-0.0003836230900944315,32.0870976285953,48.74034373572349,27.71288223154691
1577975700,28688,28688,28688,28688,28640.64954519696,28637,1,3.55,NaN,NaN,28623.044639820317,NaN,-0.0005149374021179431,32.522268264283014,56.107543445813526,23.59604354933423
1577976300,28711,28711,28711,28711,28654.71963615757,28647.11111111111,1,3.5,NaN,NaN,28628,NaN,0.00006560934216637282,33.14275484636414,58.589777328693536,22.261625214198162
1577976600,28715,28735,28715,28735,28670.775708926056,28660.666666666668,3,1.75,NaN,NaN,28642.94,NaN,0.0012169368320791296,33.92866510705606,61.01162984616164,20.95966715674258
1577976900,28747,28747,28747,28747,28686.020567140844,28674,1,1.75,NaN,NaN,28661.352,NaN,0.0028507971361607654,34.76782160820111,62.17590354862433,20.33376796714632
1577977500,28724,28729,28723,28729,28694.616453712675,28685,5,1.95,NaN,NaN,28678.4816,NaN,0.00478455286048618,35.031503402405654,58.49826228751154,25.04594431392481
1577979600,28716,28716,28716,28716,28698.89316297014,28693.222222222223,2,1.95,NaN,NaN,28692.185279999998,NaN,0.006632556062027284,35.13303696655372,56.58975604366828,25.985551364919
1577981400,28735,28735,28730,28730,28705.11453037611,28702.88888888889,3,2.05,NaN,NaN,28703.148223999997,NaN,0.008333998438518897,35.40981305051901,58.66448157769016,24.743612089326174
1577982000,28715,28715,28715,28715,28707.09162430089,28711,2,2.1,NaN,NaN,28711.9185792,NaN,0.009661608583687586,35.35305357342948,56.42347908508032,27.61843086138485
1577982600,28700,28700,28700,28700,28705.673299440714,28719,1,2.1,NaN,NaN,28747,NaN,0.01058771284228488,34.99257313256896,54.24234698344915,30.416446272249786
1577982900,28689,28689,28689,28689,28702.33863955257,28719.11111111111,1,2.1,NaN,NaN,28746.06,NaN,0.011097979124631285,34.43196929438362,52.670650746816236,32.4326608279883
1577991300,28780,28780,28780,28780,28717.870911642058,28726.777777777777,4,2.25,NaN,NaN,28689,NaN,0.01187049766285031,34.770912966699186,62.20672756266965,25.898019006826743
1578014100,28865,28875,28834,28861,28746.496729313647,28740.777777777777,19,2.95,NaN,NaN,28689,NaN,0.013505776640705403,35.6832506560632,69.05767658998452,21.203373725225
1578014400,28849,28865,28836,28836,28764.397383450916,28750.666666666668,10,3.35,NaN,NaN,28696.44,NaN,0.01557859425824093,36.549971460959014,65.25655990964285,20.036284104979075
1578015000,28821,28890,28820,28890,28789.51790676073,28768.555555555555,9,3.55,NaN,NaN,28703.5824,NaN,0.01785472684398326,37.50331150702503,61.631874862070624,17.577935132791946
1578015300,28904,28904,28868,28868,28805.214325408586,28785.444444444445,67,6.85,NaN,NaN,28714.767455999998,NaN,0.020232603879851707,38.47906651024666,60.21534449251975,16.48310620492132
1578015600,28853,28855,28785,28785,28801.17146032687,28791.555555555555,11,7.3,NaN,NaN,28729.90605952,NaN,0.021895864924571518,38.11350265307817,52.30850851304132,27.449652793976213
