time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,ADX
1582596300,26423,26423,26413,26413,26408,NaN,NaN,NaN,NaN,26418,14,7.1,28.083081567726747
1582596600,26400,26463,26400,26459,26490,NaN,NaN,26490,26490,26430.5,25,8.3,28.141094276094265
1582596900,26461,26498,26458,26495,26400,26400,26400,NaN,NaN,26478,28,9.65,28.61112970393297
1582597200,26503,26513,26503,26513,26400,NaN,NaN,NaN,NaN,26508,57,12.45,29.217503385177157
1582597500,26470,26470,26470,26470,26413.56,NaN,NaN,NaN,NaN,26470,1,12.45,29.002282744425084
1582597800,26472,26486,26472,26486,26425.4928,NaN,NaN,NaN,NaN,26479,21,13.45,29.012455372379208
1582598700,26410,26410,26407,26407,26513,NaN,NaN,26513,26513,26408.5,11,13.95,27.652594750335137
1582599300,26351,26351,26347,26347,26502.4,NaN,NaN,NaN,NaN,26349,6,14.2,25.975046615540393
1582599600,26345,26352,26341,26341,26483.752,NaN,NaN,NaN,NaN,26344.75,5,14.4,24.51082038430372
1582600200,26300,26315,26300,26310,26463.76672,NaN,NaN,NaN,NaN,26306.25,17,15.2,23.767842994107742
1582601100,26370,26380,26368,26380,26437.5640448,NaN,NaN,NaN,NaN,26374.5,12,15.05,22.161868776363804
1582601400,26391,26395,26391,26395,26415.553797632,NaN,NaN,NaN,NaN,26393,19,15.45,20.899331393024884
1582601700,26401,26401,26401,26401,26300,26300,26300,NaN,NaN,26401,1,15.35,19.820992914117767
1582602900,26408,26408,26408,26408,26310.1,NaN,NaN,NaN,NaN,26408,11,13.4,18.934192797071933
1582606500,26395,26395,26395,26395,26321.847999999998,NaN,NaN,NaN,NaN,26395,2,13.1,17.858189216456495
1582606800,26397,26427,26397,26427,26332.18624,NaN,NaN,NaN,NaN,26412,8,12.85,17.410140169438538
1582607100,26385,26411,26385,26411,26345.4601664,NaN,NaN,NaN,NaN,26398,3,12.95,16.74386410200896
1582608000,26408,26408,26408,26408,26356.875743104,NaN,NaN,NaN,NaN,26408,10,12.9,16.12517918225292
1582608300,26379,26379,26379,26379,26366.69313906944,NaN,NaN,NaN,NaN,26379,1,12.85,15.020452624249467
1582608600,26370,26370,26370,26370,26427,NaN,NaN,26427,26427,26370,1,12.65,14.181387899336078
1582610100,26430,26430,26430,26430,26370,26370,26370,NaN,NaN,26430,2,12.05,14.106951888746078
1582610400,26433,26433,26422,26422,26370,NaN,NaN,NaN,NaN,26427.5,2,10.9,13.85752932811372
1582611000,26436,26436,26410,26410,26377.56,NaN,NaN,NaN,NaN,26423,8,9.9,13.351067591654756
1582611300,26433,26433,26431,26431,26385.7416,NaN,NaN,NaN,NaN,26432,11,7.6,12.880781693514285
1582611900,26453,26453,26453,26453,26392.777776000003,NaN,NaN,NaN,NaN,26453,1,7.6,12.863667341035956
1582612200,26462,26462,26462,26462,26402.41333184,NaN,NaN,NaN,NaN,26462,1,6.6,13.032654249813818
1582612500,26468,26468,26468,26468,26413.138932108803,NaN,NaN,NaN,NaN,26468,1,6.1,13.31568874106583
1582614900,26475,26475,26475,26475,26424.111145687042,NaN,NaN,NaN,NaN,26475,1,5.85,13.72970533857191
1582615500,26421,26421,26421,26421,26475,NaN,NaN,26475,26475,26421,5,5.85,12.871273495018778
1582617000,26480,26480,26480,26480,26421,26421,26421,NaN,NaN,26480,1,5.05,13.06913120422176
1582617300,26484,26484,26484,26484,26421,NaN,NaN,NaN,NaN,26484,1,4.5,13.326990758659868
1582617600,26497,26497,26497,26497,26428.56,NaN,NaN,NaN,NaN,26497,11,4.1,13.81213024778278
1582618200,26480,26480,26480,26480,26438.141600000003,NaN,NaN,NaN,NaN,26480,1,4.1,13.791197024095286
1582622100,26351,26380,26349,26380,26497,NaN,NaN,26497,26497,26365,6,3.85,14.379806815237583
1582622700,26380,26380,26380,26380,26482.2,NaN,NaN,NaN,NaN,26380,2,3.85,14.926373049869717
1582625700,26347,26347,26345,26345,26468.88,NaN,NaN,NaN,NaN,26346,4,3.65,15.926521536805849
1582626000,26345,26345,26345,26345,26454.0144,NaN,NaN,NaN,NaN,26345,1,3.55,16.855230846103684
1582626300,26323,26323,26323,26323,26440.932672,NaN,NaN,NaN,NaN,26323,1,3.1,18.025126624849925
1582626600,26290,26290,26290,26290,26424.42209792,NaN,NaN,NaN,NaN,26290,1,3.1,19.536536964405002
1582627500,26289,26300,26289,26300,26402.9145622528,NaN,NaN,NaN,NaN,26294.5,2,3.15,20.658978835705657
1582627800,26305,26305,26305,26305,26382.409941047295,NaN,NaN,NaN,NaN,26305,1,3.1,21.55641420109729
1582630200,26343,26343,26343,26343,26365.59615165878,NaN,NaN,NaN,NaN,26343,1,3.05,21.34973483467694
1582630500,26351,26363,26346,26363,26289,26289,26289,NaN,NaN,26355.75,12,3.25,20.663391117272116
1582631400,26367,26367,26367,26367,26296.4,NaN,NaN,NaN,NaN,26367,1,2.75,19.927036250950806
1582632900,26342,26342,26342,26342,26304.872000000003,NaN,NaN,NaN,NaN,26342,1,2.75,19.736835441960988
1582633500,26370,26370,26370,26370,26312.327360000003,NaN,NaN,NaN,NaN,26370,1,2.75,18.84774646034659
1582634100,26363,26363,26363,26363,26320.401529600003,NaN,NaN,NaN,NaN,26363,1,2.75,18.17042349550503
1582635000,26395,26401,26395,26401,26327.345315456005,NaN,NaN,NaN,NaN,26398,8,3.1,17.107709662033876
1582636200,26402,26402,26402,26402,26339.130064983045,NaN,NaN,NaN,NaN,26402,1,2.9,16.143487153240045
1582637400,26351,26351,26351,26351,26350.446653286097,NaN,NaN,NaN,NaN,26351,2,2.95,15.859187917145748
1582638900,26349,26349,26345,26345,26402,NaN,NaN,26402,26402,26347,6,3.2,15.713910739425504
1582641300,26326,26326,26326,26326,26396.3,NaN,NaN,NaN,NaN,26326,1,2.7,15.952122639305937
1582641600,26320,26320,26320,26320,26387.863999999998,NaN,NaN,NaN,NaN,26320,1,2.7,16.29010873278636
1582642500,26313,26313,26313,26313,26378.363039999997,NaN,NaN,NaN,NaN,26313,1,2.45,16.744166323598982
1582643100,26310,26310,26310,26310,26367.9049536,NaN,NaN,NaN,NaN,26310,1,2.4,17.228190727145858
1582643400,26290,26290,26290,26290,26357.482061952,NaN,NaN,NaN,NaN,26290,1,2.25,18.087358222468062
1582644000,26250,26250,26250,26250,26343.9856495616,NaN,NaN,NaN,NaN,26250,2,2.3,19.58791319571539
1582644300,26240,26240,26229,26229,26325.18851964928,NaN,NaN,NaN,NaN,26234.5,2,2.35,21.298419050966334
1582645800,26188,26188,26161,26161,26305.950815719425,NaN,NaN,NaN,NaN,26174.5,2,2.4,23.704218898748465
1582646100,26200,26200,26200,26200,26276.96065257554,NaN,NaN,NaN,NaN,26200,1,2.35,25.527583373903255
1582647900,26165,26165,26165,26165,26253.768522060433,NaN,NaN,NaN,NaN,26165,1,2.35,27.599101337536062
1582648500,26168,26183,26168,26183,26235.214817648346,NaN,NaN,NaN,NaN,26175.5,3,2.45,28.91961294261896
1582650300,26173,26173,26173,26173,26220.371854118675,NaN,NaN,NaN,NaN,26173,1,1.9,30.145802290195935
1582651200,26140,26140,26140,26140,26208.49748329494,NaN,NaN,NaN,NaN,26140,1,1.9,31.68519856668531
1582651800,26149,26149,26147,26149,26194.797986635953,NaN,NaN,NaN,NaN,26148.5,3,2,32.79324655460105
1582654500,26060,26060,26060,26060,26183.838389308763,NaN,NaN,NaN,NaN,26060,1,2,34.71197058111864
1582656000,26057,26057,26057,26057,26159.07071144701,NaN,NaN,NaN,NaN,26057,1,2,36.51867144467813
1582656300,26052,26052,26052,26052,26138.656569157607,NaN,NaN,NaN,NaN,26052,1,1.65,38.24017156999663
1582656900,26041,26041,26041,26041,26121.325255326086,NaN,NaN,NaN,NaN,26041,1,1.65,39.9374123711331
1582679400,25958,25958,25958,25958,26105.26020426087,NaN,NaN,NaN,NaN,25958,2,1.65,42.115628118444775
1582679700,26099,26099,26061,26061,25958,25958,25958,NaN,NaN,26080,55,4.1,40.623471195988195
1582680300,26071,26072,26069,26072,25958,NaN,NaN,NaN,NaN,26071,27,5.4,39.23789691084995
1582680600,26143,26143,26143,26143,25972.1,NaN,NaN,NaN,NaN,26143,1,5.4,36.70195587018334
1582681200,26144,26144,26138,26138,25992.608,NaN,NaN,NaN,NaN,26141,2,5.45,34.42157957501246
1582681500,26116,26116,26116,26116,26013.80288,NaN,NaN,NaN,NaN,26116,1,5.45,32.63591625225975
1582681800,26113,26113,26113,26113,26032.0304768,NaN,NaN,NaN,NaN,26113,1,5.45,31.023823337382154
1582682100,26157,26158,26157,26158,26047.706210048,NaN,NaN,NaN,NaN,26157.5,13,6,28.899091560994737
1582683000,26223,26233,26223,26233,26065.35321644032,NaN,NaN,NaN,NaN,26228,2,6,28.026965929558145
1582683300,26234,26270,26234,26270,26095.52963748106,NaN,NaN,NaN,NaN,26252,3,6.05,27.672888265017097
